Name,Draft,Round,Pick,Position(s),Handedness,Height,Weight,DOB,City of Birth,Count(r)y of Birth,College,Drafted By
Mouhamadou Gueye,0,0,0,PF SF,Right,6'9,210,06/07/1998,Staten Island,New York,Monroe Community College/Stony Brook University,Undrafted,gueyemo01
Mouhamed Gueye,2023,2,9,PF,Right,6'11,210,09/11/2002,Dakar,Senegal,Washington State,Charlotte Hornets,gueyemo02
Rui Hachimura,2019,1,9,PF,Right,6'8,230,08/02/1998,Toyama,Japan,Gonzaga,Washington Wizards,hachiru01
Ashton Hagans,0,0,0,PG,Right,6'3,190,08/07/1999,Cartersville,Georgia,Kentucky,Undrafted,haganas01
Tyrese Haliburton,2020,1,12,PG SG,Right,6'5,185,29/02/2000,Oshkosh,Wisconsin,Iowa State,Sacramento Kings,halibty01
R.J. Hampton,2020,1,24,SG PG,Right,6'4,175,07/02/2001,Dallas,Texas,None,Milwaukee Bucks,hamptrj01
Tim Hardaway Jr.,2013,1,24,SG SF,Right,6'5,205,16/03/1992,Orinda,California,Michigan,New York Knicks,hardati02
James Harden,2009,1,3,PG SG,Left,6'5,220,26/08/1989,Los Angeles,California,Arizona State,Oklahoma City Thunder,hardeja01
Jaden Hardy,1978,1,11,PF SF,Right,6'8,220,01/12/1956,Knoxville,Alabama,San Francisco,New Orleans Jazz,hardyja01
Ron Harper Jr.,0,0,0,PF,Right,6'6,245,12/04/2000,Paterson,New Jersey,Rutgers University,Undrafted,harpero02
Gary Harris,2014,1,19,SG,Right,6'4,210,14/09/1994,Fishers,Indiana,Michigan State,Chicago Bulls,harriga01
Joe Harris,2014,2,3,SG SF,Right,6'6,220,06/09/1991,Chelan,Washington,Virginia,Cleveland Cavaliers,harrijo01
Kevon Harris,0,0,0,SG,Right,6'5,216,24/06/1997,Ellenwood,Georgia,Stephen F,Undrafted,harrike01
Tobias Harris,2011,1,19,PF SF,Right,6'8,226,15/07/1992,Islip,New York,Tennessee,Charlotte Bobcats,harrito02
Shaquille Harrison,0,0,0,SG PG,Left,6'4,190,06/10/1993,Kansas City,Missouri,Tulsa,Undrafted,harrish01
Josh Hart,2017,1,30,SF SG,Right,6'4,215,06/03/1995,Silver Spring,Maryland,Villanova,Utah Jazz,hartjo01
Isaiah Hartenstein,2017,2,13,C PF,Left,7'0,250,05/05/1998,Eugene,Oregon,None,Houston Rockets,harteis01
Sam Hauser,0,0,0,SF,Right,6'8,215,08/12/1997,Green Bay,Wisconsin,Marquette/Virginia,Undrafted,hausesa01
Jordan Hawkins,2023,1,14,SG,Right,6'5,195,29/04/2002,Gaithersburg,Maryland,UConn,New Orleans Pelicans,hawkijo01
Jaxson Hayes,2003,1,10,SF SG,Right,6'7,220,09/08/1981,Atlanta,Georgia,Georgia/Western Carolina University,Washington Wizards,hayesja01
Killian Hayes,2020,1,7,PG,Left,6'5,195,27/07/2001,Lakeland,Florida,None,Detroit Pistons,hayeski01
Gordon Hayward,2010,1,9,SF PF,Right,6'7,225,23/03/1990,Indianapolis,Indiana,Butler,Utah Jazz,haywago01
Scoot Henderson,2023,1,3,PG,Right,6'3,202,03/02/2004,Marietta,Georgia,None,Portland Trail Blazers,hendesc01
Taylor Hendricks,2023,1,9,PF,Right,6'9,210,22/11/2003,Fort Lauderdale,Florida,Central Florida,Utah Jazz,hendrita01
Tyler Herro,2019,1,13,SG,Right,6'5,195,20/01/2000,Milwaukee,Wisconsin,Kentucky,Miami Heat,herroty01
Buddy Hield,2016,1,6,SG SF,Right,6'4,220,17/12/1992,Freeport,Bahamas,Oklahoma,New Orleans Pelicans,hieldbu01
Haywood Highsmith,0,0,0,PF SF,Right,6'7,220,09/12/1996,Baltimore,Maryland,Wheeling University,Undrafted,highsha01
Nate Hinton,0,0,0,SG SF,Right,6'5,210,08/06/1999,Gastonia,North Carolina,Houston,Undrafted,hintona01
D'Moi Hodge,0,0,0,SG,Right,6'4,188,20/12/1998,Tortola,British Virgin Islands,Manatee/State College of Florida,Undrafted,hodgedm01
Aaron Holiday,2018,1,23,PG,Right,6'0,185,30/09/1996,Ruston,Louisiana,UCLA,Indiana Pacers,holidaa01
Jrue Holiday,2009,1,17,PG SG,Right,6'4,205,12/06/1990,Chatsworth,California,UCLA,Philadelphia 76ers,holidjr01
Justin Holiday,0,0,0,SG SF,Right,6'6,180,05/04/1989,Mission Hills,California,Washington,Undrafted,holidju01
Richaun Holmes,2015,2,7,C PF,Right,6'10,235,15/10/1993,Lockport,Illinois,Bowling Green,Philadelphia 76ers,holmeri01
Chet Holmgren,2022,1,2,C PF,Right,7'1,208,01/05/2002,Minneapolis,Minnesota,Gonzaga,Oklahoma City Thunder,holmgch01
Jalen Hood-Schifino,2023,1,17,SG,Right,6'6,215,19/06/2003,Pittsburgh,Pennsylvania,Indiana,Los Angeles Lakers,hoodsja01
Al Horford,2007,1,3,C,Right,6'9,240,03/06/1986,Puerto Plata,Dominican Republic,Florida,Atlanta Hawks,horfoal01
Talen Horton-Tucker,2019,2,16,SG PG,Right,6'4,234,25/11/2000,Chicago,Illinois,Iowa State,Orlando Magic,hortota01
Danuel House Jr.,0,0,0,SF SG,Right,6'6,220,07/06/1993,Houston,Texas,Texas A,Undrafted,houseda01
Caleb Houstan,2022,2,2,SF,Right,6'8,205,09/01/2003,Mississauga,Ontario,Michigan,Orlando Magic,houstca01
Jett Howard,2023,1,11,SF,Right,6'8,215,14/09/2003,Chicago,Illinois,Michigan,Orlando Magic,howarje01
Kevin Huerter,2018,1,19,SG SF,Right,6'7,190,27/08/1998,Albany,New York,Maryland,Atlanta Hawks,huertke01
Jay Huff,0,0,0,C,Right,7'1,240,25/08/1998,Durham,North Carolina,Virginia,Undrafted,huffja01
De'Andre Hunter,2019,1,4,SF,Right,6'8,225,02/12/1997,Philadelphia,Pennsylvania,Virginia,Los Angeles Lakers,huntede01
Matthew Hurt,0,0,0,PF,Right,6'9,235,20/04/2000,Rochester,Minnesota,Duke,Undrafted,hurtma01
Bones Hyland,2021,1,26,PG SG,Right,6'2,173,14/09/2000,Wilmington,Delaware,VCU,Denver Nuggets,hylanbo01
Joe Ingles,0,0,0,SF PF,Left,6'9,220,02/10/1987,Adelaide,Australia,None,Undrafted,inglejo01
Brandon Ingram,2016,1,2,SF PF,Right,6'8,190,02/09/1997,Kinston,North Carolina,Duke,Los Angeles Lakers,ingrabr01
Kyrie Irving,2011,1,1,PG SG,Right,6'2,195,23/03/1992,Melbourne,Australia,Duke,Cleveland Cavaliers,irvinky01
Jonathan Isaac,2017,1,6,PF,Right,6'10,230,03/10/1997,The Bronx,New York,Florida State,Orlando Magic,isaacjo01
Jaden Ivey,2022,1,5,SG,Right,6'4,195,13/02/2002,South Bend,Indiana,Purdue,Detroit Pistons,iveyja01
Andre Jackson Jr.,2023,2,6,SG,Right,6'6,210,13/11/2001,Amsterdam,New York,UConn,Orlando Magic,jacksan01
GG Jackson,2023,2,15,PF,Right,6'9,215,17/12/2004,Columbia,South Carolina,South Carolina,Memphis Grizzlies,jacksgg01
Isaiah Jackson,2021,1,22,C,Right,6'10,206,10/01/2002,Pontiac,Michigan,Kentucky,Los Angeles Lakers,jacksis01
Jaren Jackson Jr.,2018,1,4,C PF,Right,6'10,242,15/09/1999,Plainfield,New Jersey,Michigan State,Memphis Grizzlies,jacksja02
Justin Jackson,2017,1,15,SF PF,Right,6'8,220,28/03/1995,Houston,Texas,UNC,Portland Trail Blazers,jacksju01
Quenton Jackson,0,0,0,PG,Right,6'5,175,15/09/1998,Los Angeles,California,Texas A,Undrafted,jacksqu01
Reggie Jackson,2011,1,24,PG SG,Right,6'2,208,16/04/1990,Pordenone,Italy,Boston College,Oklahoma City Thunder,jacksre01
Trayce Jackson-Davis,1981,2,2,SG,Right,6'6,205,21/04/1959,Rockville,Maryland,Notre Dame,Boston Celtics,jackstr01
Lebron James,2003,1,1,SF,Right,6'9,250,30/12/1984,Akron,Ohio,None,Cleveland Cavaliers,jamesle01
Jaime Jaquez Jr.,2023,1,18,SF,Right,6'6,225,18/02/2001,Irvine,California,UCLA,Miami Heat,jaqueja01
DeJon Jarreau,0,0,0,SG,Right,6'5,185,23/01/1998,New Orleans,Louisiana,UMass/Houston,Undrafted,jarrede01
DaQuan Jeffries,0,0,0,SG,Right,6'5,230,30/08/1997,Edmond,Oklahoma,Oral Roberts/Tulsa,Undrafted,jeffrda01
Trey Jemison,0,0,0,C,Right,6'11,260,28/11/1999,Birmingham,Alabama,Clemson/UAB,Undrafted,jemistr01
Ty Jerome,2019,1,24,SG,Right,6'5,195,08/07/1997,New York,New York,Virginia,Philadelphia 76ers,jeromty01
Isaiah Joe,2020,2,19,SG,Right,6'4,165,02/07/1999,Fort Smith,Arkansas,Arkansas,Philadelphia 76ers,joeis01
Cameron Johnson,2019,1,11,PF,Right,6'8,210,03/03/1996,Moon Township,Pennsylvania,UNC/Pitt,Minnesota Timberwolves,johnsca02
Jalen Johnson,2021,1,20,SF PF,Right,6'9,220,18/12/2001,Wausau,Wisconsin,Duke,Atlanta Hawks,johnsja05
James Johnson,2009,1,16,PF,Right,6'7,240,20/02/1987,Cheyenne,Wyoming,Wake Forest,Chicago Bulls,johnsja01
Keldon Johnson,2019,1,29,SF,Right,6'5,220,11/10/1999,Chesterfield,Virginia,Kentucky,San Antonio Spurs,johnske04
Keon Johnson,2021,1,21,SG,Right,6'5,186,10/03/2002,Shelbyville,Tennessee,Tennessee,New York Knicks,johnske07
Keyontae Johnson,2023,2,20,SF,Right,6'5,230,24/05/2000,Norfolk,Virginia,Kansas State/Florida,Oklahoma City Thunder,johnske08
Nikola Jokic,2014,2,11,C,Right,6'11,284,19/02/1995,Sombor,Serbia,None,Denver Nuggets,jokicni01
Colby Jones,2023,2,4,SG,Right,6'6,205,28/05/2002,Birmingham,Alabama,Xavier,Charlotte Hornets,jonesco02
Damian Jones,2016,1,30,C,Right,6'11,245,30/06/1995,Baton Rouge,Louisiana,Vanderbilt,Golden State Warriors,jonesda03
Derrick Jones Jr.,0,0,0,SF PF,Left,6'5,210,15/02/1997,Chester,Pennsylvania,UNLV,Undrafted,jonesde02
Herbert Jones,2021,2,5,PF SF,Left,6'8,210,06/10/1998,Tuscaloosa,Alabama,Alabama,New Orleans Pelicans,joneshe01
Mason Jones,0,0,0,SG,Right,6'4,200,21/07/1998,Dallas,Texas,Arkansas/Connors State College,Undrafted,jonesma05
Tre Jones,2020,2,11,PG,Right,6'1,185,08/01/2000,Apple Valley,Minnesota,Duke,San Antonio Spurs,jonestr01
Tyus Jones,2015,1,24,PG,Right,6'1,196,10/05/1996,Burnsville,Minnesota,Duke,Cleveland Cavaliers,jonesty01
DeAndre Jordan,2008,2,5,C,Left,6'11,265,21/07/1988,Houston,Texas,Texas A,Los Angeles Clippers,jordade01
Cory Joseph,2011,1,29,PG SG,Right,6'2,200,20/08/1991,Toronto,Ontario,Texas,San Antonio Spurs,josepco01
Nikola Jovic,2022,1,27,PF,Right,6'10,209,09/06/2003,Leicester,United Kingdom,None,Miami Heat,jovicni01
Johnny Juzang,0,0,0,SG,Right,6'7,215,17/03/2001,Los Angeles,California,UCLA/Kentucky,Undrafted,juzanjo01
Luke Kennard,2017,1,12,SG,Left,6'5,206,24/06/1996,Middletown,Ohio,Duke,Detroit Pistons,kennalu01
Walker Kessler,2022,1,22,C,Right,7'0,245,26/07/2001,Atlanta,Georgia,UNC/Auburn,Memphis Grizzlies,kesslwa01
Braxton Key,0,0,0,SF,Right,6'8,230,14/02/1997,Charlotte,North Carolina,Virginia/Alabama,Undrafted,keybr01
Corey Kispert,2021,1,15,SF,Right,6'7,220,03/03/1999,Edmonds,Washington,Gonzaga,Washington Wizards,kispeco01
Maxi Kleber,0,0,0,PF C,Right,6'10,240,29/01/1992,Wurzburg,Germany,None,Undrafted,klebima01
Kevin Knox,2018,1,9,SF PF,Right,6'7,215,11/08/1999,Phoenix,Arizona,Kentucky,New York Knicks,knoxke01
John Konchar,0,0,0,SG SF,Right,6'5,210,22/03/1996,Chicago,Illinois,Purdue,Undrafted,konchjo01
Furkan Korkmaz,2016,1,26,SG,Right,6'7,202,24/07/1997,Istanbul,Turkey,None,Philadelphia 76ers,korkmfu01
Luke Kornet,0,0,0,C,Right,7'2,250,15/07/1995,Lantana,Texas,Vanderbilt,Undrafted,kornelu01
Vit Krejci,2020,2,7,PG SG,Right,6'8,195,19/06/2000,Strakonice,Czechia,None,Washington Wizards,krejcvi01
Jonathan Kuminga,2021,1,7,PF SF,Right,6'8,210,06/10/2002,Goma,Democratic Republic of the Congo,None,Golden State Warriors,kuminjo01
Kyle Kuzma,2017,1,27,PF SF,Right,6'9,221,24/07/1995,Flint,Michigan,Utah,Brooklyn Nets,kuzmaky01
Jake LaRavia,2022,1,19,PF,Right,6'8,235,03/11/2001,Pasadena,California,Wake Forest/Indiana State University,Minnesota Timberwolves,laravja01
Zach LaVine,2014,1,13,SG,Right,6'5,200,10/03/1995,Renton,Washington,UCLA,Minnesota Timberwolves,lavinza01
Jock Landale,0,0,0,C,Right,6'11,256,25/10/1995,E Malvern,Australia,Saint Mary,Undrafted,landajo01
A.J. Lawson,0,0,0,SG,Right,6'6,179,15/07/2000,Toronto,Ontario,South Carolina,Undrafted,lawsoaj01
Caris LeVert,2016,1,20,SG SF,Right,6'6,205,25/08/1994,Columbus,Ohio,Michigan,Indiana Pacers,leverca01
Saben Lee,2020,2,8,PG,Right,6'2,183,23/06/1999,St. Louis,Missouri,Vanderbilt,Utah Jazz,leesa01
Alex Len,2013,1,5,C,Right,7'0,250,16/06/1993,Antratsit,Ukraine,Maryland,Phoenix Suns,lenal01
Kawhi Leonard,2011,1,15,SF,Right,6'7,225,29/06/1991,Los Angeles,California,San Diego State,Indiana Pacers,leonaka01
Kira Lewis Jr.,2020,1,13,PG,Right,6'1,170,06/04/2001,Meridianville,Alabama,Alabama,New Orleans Pelicans,lewiski01
Maxwell Lewis,2023,2,10,SF,Right,6'7,195,27/07/2002,Las Vegas,Nevada,Pepperdine,Denver Nuggets,lewisma05
E.J. Liddell,2022,2,11,PF,Right,6'7,240,18/12/2000,Belleville,Illinois,Ohio State,New Orleans Pelicans,liddeej01
Damian Lillard,2012,1,6,PG,Right,6'2,195,15/07/1990,Oakland,California,Weber State,Portland Trail Blazers,lillada01
Nassir Little,2019,1,25,SF PF,Right,6'5,220,11/02/2000,Pensacola,Florida,UNC,Portland Trail Blazers,littlna01
Dereck Lively II,2023,1,12,C,Right,7'1,230,12/02/2004,Philadelphia,Pennsylvania,Duke,Oklahoma City Thunder,livelde01
Isaiah Livers,2021,2,12,PF SF,Right,6'7,230,28/07/1998,Kalamazoo,Michigan,Michigan,Detroit Pistons,liveris01
Chris Livingston,2023,2,28,SF,Right,6'6,220,15/10/2003,Akron,Ohio,Kentucky,Milwaukee Bucks,livinch01
Kenneth Lofton Jr.,0,0,0,PF,Left,6'7,275,14/08/2002,Port Arthur,Texas,Louisiana Tech,Undrafted,loftoke01
Kevon Looney,2015,1,30,C PF,Right,6'9,222,06/02/1996,Milwaukee,Wisconsin,UCLA,Golden State Warriors,looneke01
Brook Lopez,2008,1,10,C,Right,7'1,282,01/04/1988,North Hollywood,California,Stanford,New Jersey Nets,lopezbr01
Robin Lopez,2008,1,15,C,Right,7'1,281,01/04/1988,North Hollywood,California,Stanford,Phoenix Suns,lopezro01
Kevin Love,2008,1,5,PF C,Right,6'8,251,07/09/1988,Santa Monica,California,UCLA,Memphis Grizzlies,loveke01
Kyle Lowry,2006,1,24,PG,Right,6'0,196,25/03/1986,Philadelphia,Pennsylvania,Villanova,Memphis Grizzlies,lowryky01
Seth Lundy,2023,2,16,SF,Right,6'6,220,02/04/2000,Paulsboro,New Jersey,Penn State,Atlanta Hawks,lundyse01
Trey Lyles,2015,1,12,PF,Right,6'9,234,05/11/1995,Saskatoon,Saskatchewan,Kentucky,Utah Jazz,lylestr01
Theo Maledon,2020,2,4,PG,Right,6'4,175,12/06/2001,Rouen,France,None,Philadelphia 76ers,maledth01
Sandro Mamukelashvili,2021,2,24,C PF,Left,6'11,240,23/05/1999,New York,New York,Seton Hall,Indiana Pacers,mamuksa01
Terance Mann,2019,2,18,SG SF,Right,6'5,215,18/10/1996,Brooklyn,New York,Florida State,Los Angeles Clippers,mannte01
Tre Mann,2021,1,18,PG,Right,6'3,178,03/02/2001,Gainesville,Florida,Florida,Oklahoma City Thunder,manntr01
Boban Marjanovic,0,0,0,C,Right,7'4,290,15/08/1988,Zajecar,Serbia,None,Undrafted,marjabo01
Lauri Markkanen,2017,1,7,PF SF,Right,7'0,240,22/05/1997,Vantaa,Finland,Arizona,Minnesota Timberwolves,markkla01
Naji Marshall,0,0,0,SF,Right,6'7,220,24/01/1998,Atlantic City,New Jersey,Xavier,Undrafted,marshna01
Caleb Martin,0,0,0,SF,Right,6'5,205,28/09/1995,Winston,North Carolina,Nevada/NC State,Undrafted,martica02
Cody Martin,2019,2,6,SF,Right,6'5,205,28/09/1995,Winston,North Carolina,NC State/Nevada,Charlotte Hornets,martico01
KJ Martin,2020,2,22,SF,Right,6'6,215,06/01/2001,Gardena,California,None,Sacramento Kings,martike04
Garrison Mathews,0,0,0,SG,Right,6'5,215,24/10/1996,Franklin,Tennessee,Lipscomb,Undrafted,mathega01
Bennedict Mathurin,2022,1,6,SF SG,Right,6'6,210,19/06/2002,Montreal,Quebec,Arizona,Indiana Pacers,mathube01
Wesley Matthews,1980,1,14,PG,Right,6'1,170,24/08/1959,Sarasota,Florida,Wisconsin,Washington Bullets,matthwe01
Tyrese Maxey,2020,1,21,PG SG,Right,6'2,200,04/11/2000,Dallas,Texas,Kentucky,Philadelphia 76ers,maxeyty01
Skylar Mays,2020,2,20,SG PG,Right,6'4,205,05/09/1997,Baton Rouge,Louisiana,LSU,Atlanta Hawks,mayssk01
Miles McBride,2021,2,6,PG,Right,6'2,200,08/09/2000,Cincinnati,Ohio,West Virginia,Oklahoma City Thunder,mcbrimi01
CJ McCollum,2013,1,10,SG PG,Right,6'3,190,19/09/1991,Canton,Ohio,Lehigh,Portland Trail Blazers,mccolcj01
T.J. McConnell,0,0,0,PG,Right,6'1,190,25/03/1992,Pittsburgh,Pennsylvania,Arizona/Duquesne,Undrafted,mccontj01
Jaden McDaniels,2020,1,28,SF PF,Right,6'9,185,29/09/2000,Federal Way,Washington,Washington,Los Angeles Lakers,mcdanja02
Jalen McDaniels,2019,2,22,SF,Right,6'9,205,31/01/1998,Federal Way,Washington,San Diego State,Charlotte Hornets,mcdanja01
Doug McDermott,2014,1,11,SF PF,Right,6'6,225,03/01/1992,Grand Forks,North Dakota,Creighton,Denver Nuggets,mcderdo01
JaVale McGee,2008,1,18,C,Right,7'0,270,19/01/1988,Flint,Michigan,Nevada,Washington Wizards,mcgeeja01
Bryce McGowens,2022,2,10,SG,Right,6'7,179,08/11/2002,Pendleton,South Carolina,Nebraska,Minnesota Timberwolves,mcgowbr01
Jordan McLaughlin,0,0,0,PG,Right,6'0,185,09/04/1996,Etiwanda,California,USC,Undrafted,mclaujo01
De'Anthony Melton,2018,2,16,PG SG,Right,6'2,200,28/05/1998,North Hollywood,California,USC,Houston Rockets,meltode01
Nathan Mensah,0,0,0,C,Left,6'8,230,09/04/1998,Accra,Ghana,San Diego State,Undrafted,mensana01
Sam Merrill,2020,2,30,SG,Right,6'4,205,15/05/1996,Salt Lake City,Utah,Utah State University,New Orleans Pelicans,merrisa01
Chimezie Metu,2018,2,19,C PF,Right,6'9,225,22/03/1997,Los Angeles,California,USC,San Antonio Spurs,metuch01
Vasilije Micic,2014,2,22,PG,Right,6'5,200,13/01/1994,Kraljevo,Serbia,None,Philadelphia 76ers,micicva01
Khris Middleton,2012,2,9,SF SG,Right,6'7,222,12/08/1991,Charleston,South Carolina,Texas A,Detroit Pistons,middlkh01
Brandon Miller,2023,1,2,SF,Right,6'9,201,22/11/2002,Antioch,Tennessee,Alabama,Charlotte Hornets,millebr02
Jordan Miller,2023,2,18,SF,Left,6'7,195,23/01/2000,Anaheim,California,Miami /George Mason,Los Angeles Clippers,millejo02
Leonard Miller,2023,2,3,SF,Left,6'10,210,26/11/2003,Scarborough,Canada,None,San Antonio Spurs,millele01
Patty Mills,2009,2,25,PG SG,Right,6'2,180,11/08/1988,Canberra,Australia,Saint Mary,Portland Trail Blazers,millspa02
Shake Milton,2018,2,24,SG,Right,6'5,205,26/09/1996,Owasso,Oklahoma,SMU,Dallas Mavericks,miltosh01
Justin Minaya,0,0,0,SF,Left,6'5,210,26/03/1999,Harrington Park,New Jersey,None,Undrafted,minayju01
Josh Minott,2022,2,15,SF,Right,6'8,205,25/11/2002,Boca Raton,Florida,Memphis,Charlotte Hornets,minotjo01
Davion Mitchell,2021,1,9,PG,Right,6'2,205,05/09/1998,Hinesville,Georgia,Auburn/Baylor,Sacramento Kings,mitchda01
Donovan Mitchell,2017,1,13,SG PG,Right,6'3,215,07/09/1996,Elmsford,New York,Louisville,Denver Nuggets,mitchdo01
Evan Mobley,2021,1,3,PF,Right,6'11,215,18/06/2001,San Diego,California,USC,Cleveland Cavaliers,mobleev01
Isaiah Mobley,2022,2,19,PF,Right,6'8,240,24/09/1999,San Diego,California,USC,Cleveland Cavaliers,mobleis01
Malik Monk,2017,1,11,SG,Right,6'3,200,04/02/1998,Jonesboro,Arkansas,Kentucky,Charlotte Hornets,monkma01
Moses Moody,2021,1,14,SG,Right,6'6,205,31/05/2002,Little Rock,Arkansas,Arkansas,Golden State Warriors,moodymo01
Xavier Moon,0,0,0,SG,Right,6'2,165,02/01/1995,Goodwater,Alabama,Morehead State University/Northwest Florida State College,Undrafted,moonxa01
Taze Moore,0,0,0,SG,Left,6'5,195,29/06/1998,Memphis,Tennessee,Bakersfield/Cal State,Undrafted,mooreta02
Wendell Moore Jr.,2022,1,26,SG,Right,6'5,213,18/09/2001,Richmond,Virginia,Duke,Dallas Mavericks,moorewe01
Ja Morant,2019,1,2,PG,Right,6'2,174,10/08/1999,Dalzell,South Carolina,Murray State,Memphis Grizzlies,moranja01
Marcus Morris,2011,1,14,PF SF,Right,6'8,218,02/09/1989,Philadelphia,Pennsylvania,Kansas,Houston Rockets,morrima03
Markieff Morris,2011,1,13,PF,Right,6'9,245,02/09/1989,Philadelphia,Pennsylvania,Kansas,Phoenix Suns,morrima02
Monte Morris,2017,2,21,PG,Right,6'2,183,27/06/1995,Grand Rapids,Michigan,Iowa State,Denver Nuggets,morrimo01
Trey Murphy III,2021,1,17,SF,Right,6'8,206,18/06/2000,Durham,North Carolina,Virginia/Rice University,Memphis Grizzlies,murphtr02
Dejounte Murray,2016,1,29,PG SG,Right,6'5,180,19/09/1996,Seattle,Washington,Washington,San Antonio Spurs,murrade01
Jamal Murray,2016,1,7,PG SG,Right,6'4,215,23/02/1997,Kitchener,Ontario,Kentucky,Denver Nuggets,murraja01
Keegan Murray,2022,1,4,SF,Right,6'8,215,19/08/2000,Cedar Rapids,Iowa,Iowa,Sacramento Kings,murrake02
Kris Murray,2023,1,23,SF,Left,6'8,220,19/08/2000,Cedar Rapids,Iowa,Iowa,Portland Trail Blazers,murrakr01
Svi Mykhailiuk,2018,2,17,SF,Right,6'7,205,10/06/1997,Cherkasy,Ukraine,Kansas,Los Angeles Lakers,mykhasv01
Larry Nance Jr.,2015,1,27,C PF,Right,6'8,245,01/01/1993,Akron,Ohio,Wyoming,Los Angeles Lakers,nancela02
Pete Nance,0,0,0,PF,Right,6'11,230,19/02/2000,Akron,Ohio,UNC/Northwestern,Undrafted,nancepe01
Andrew Nembhard,2022,2,1,PG SG,Right,6'5,193,16/01/2000,Aurora,Ontario,Florida/Gonzaga,Indiana Pacers,nembhan01
Aaron Nesmith,2020,1,14,SF,Right,6'5,215,16/10/1999,Charleston,South Carolina,Vanderbilt,Boston Celtics,nesmiaa01
Georges Niang,2016,2,20,PF,Right,6'7,230,17/06/1993,Lawrence,Massachusetts,Iowa State,Indiana Pacers,niangge01
Daishen Nix,0,0,0,PG SG,Right,6'5,224,13/02/2002,Anchorage,Alaska,None,Undrafted,nixda01
Zeke Nnaji,2020,1,22,PF,Right,6'9,240,09/01/2001,Hopkins,Minnesota,Arizona,Denver Nuggets,nnajize01
Jaylen Nowell,2019,2,13,SG,Right,6'4,201,09/07/1999,Seattle,Washington,Washington,Minnesota Timberwolves,nowelja01
Markquis Nowell,0,0,0,SG,Right,5'8,160,25/12/1999,Harlem,New York,Kansas State/Little Rock,Undrafted,nowelma01
Frank Ntilikina,2017,1,8,PG SG,Right,6'4,200,28/07/1998,Ixelles,Belgium,None,New York Knicks,ntilila01
Jusuf Nurkic,2014,1,16,C,Right,7'0,290,23/08/1994,Tuzla,Bosnia and Herzegovina,None,Chicago Bulls,nurkiju01
Jordan Nwora,2020,2,15,SF,Right,6'8,225,09/09/1998,Buffalo,New York,Louisville,Milwaukee Bucks,nworajo01
Royce O'Neal,0,0,0,SF,Right,6'4,226,05/06/1993,Killeen,Texas,Denver/Baylor,Undrafted,onealro01
