Name,Draft,Round,Pick,Position(s),Handedness,Height,Weight,DOB,City of Birth,Count(r)y of Birth,College,Drafted By
Chuma Okeke,2019,1,16,SF PF,Right,6'6,229,18/08/1998,Atlanta,Georgia,Auburn,Orlando Magic,okekech01
Josh Okogie,2018,1,20,SG,Right,6'4,213,01/09/1998,Lagos,Nigeria,Georgia Tech,Minnesota Timberwolves,okogijo01
Onyeka Okongwu,2020,1,6,C,Right,6'8,235,11/12/2000,Los Angeles,California,USC,Atlanta Hawks,okongon01
Isaac Okoro,2020,1,5,SF SG,Right,6'5,225,26/01/2001,Atlanta,Georgia,Auburn,Cleveland Cavaliers,okorois01
Kelly Olynyk,2013,1,13,C PF,Right,6'11,240,19/04/1991,Toronto,Ontario,Gonzaga,Dallas Mavericks,olynyke01
Eugene Omoruyi,0,0,0,SF,Right,6'7,244,14/02/1997,Benin City,Nigeria,Oregon/Rutgers University,Undrafted,omorueu01
Cedi Osman,2015,2,1,SF,Right,6'7,230,08/04/1995,Ohrid,North Macedonia,None,Minnesota Timberwolves,osmande01
Kelly Oubre Jr.,2015,1,15,SF,Left,6'7,203,09/12/1995,New Orleans,Louisiana,Kansas,Atlanta Hawks,oubreke01
Chris Paul,2005,1,4,PG,Right,6'0,175,06/05/1985,Winston,North Carolina,Wake Forest,New Orleans Hornets,paulch01
Cameron Payne,2015,1,14,PG SG,Left,6'3,183,08/08/1994,Memphis,Tennessee,Murray State,Oklahoma City Thunder,payneca01
Gary Payton II,0,0,0,PG,Left,6'2,190,01/12/1992,Seattle,Washington,Oregon State,Undrafted,paytoga02
Maozinha Pereira,0,0,0,SF,Right,6'8,177,28/08/2000,Rio de Janeiro,Brazil,None,Undrafted,pereima01
Drew Peterson,0,0,0,PF,Right,6'9,205,09/11/1999,Libertyville,Illinois,USC/Rice University,Undrafted,peterdr01
Filip Petrusev,2021,2,20,C,Right,6'11,234,15/04/2000,Belgrade,Serbia,Gonzaga,Philadelphia 76ers,petrufi01
Julian Phillips,2023,2,5,SF,Right,6'8,198,05/11/2003,Killeen,Texas,Tennessee,Boston Celtics,phillju01
Jalen Pickett,2023,2,2,SG,Right,6'4,209,22/10/1999,Rochester,New York,Siena College/Penn State,Indiana Pacers,pickeja02
Scotty Pippen Jr.,0,0,0,PG,Right,6'1,185,10/11/2000,Portland,Oregon,Vanderbilt,Undrafted,pippesc02
Mason Plumlee,2013,1,22,C,Right,6'10,254,05/03/1990,Fort Wayne,Indiana,Duke,Brooklyn Nets,plumlma01
Brandin Podziemski,2023,1,19,SG,Left,6'5,205,25/02/2003,Greenfield,Wisconsin,Santa Clara/Illinois,Golden State Warriors,podzibr01
Jakob Poeltl,2016,1,9,C,Right,7'0,245,15/10/1995,Vienna,Austria,Utah,Toronto Raptors,poeltja01
Aleksej Pokusevski,2020,1,17,PF,Right,7'0,190,26/12/2001,Belgrade,Serbia,None,Minnesota Timberwolves,pokusal01
Jordan Poole,2019,1,28,SG PG,Right,6'4,194,19/06/1999,Milwaukee,Wisconsin,Michigan,Golden State Warriors,poolejo01
Craig Porter Jr.,0,0,0,PG,Right,6'2,186,26/02/2000,Terre Haute,Indiana,Wichita State/Vincennes University,Undrafted,portecr01
Jontay Porter,0,0,0,PF,Left,6'11,240,15/11/1999,Columbia,Missouri,Missouri,Undrafted,portejo01
Kevin Porter Jr.,2019,1,30,PG,Left,6'4,203,04/05/2000,Seattle,Washington,USC,Milwaukee Bucks,porteke02
Michael Porter Jr.,2018,1,14,SF,Right,6'10,218,29/06/1998,Indianapolis,Indiana,Missouri,Denver Nuggets,portemi01
Otto Porter Jr.,2013,1,3,SF PF,Right,6'8,198,03/06/1993,St. Louis,Missouri,Georgetown,Washington Wizards,porteot01
Bobby Portis,2015,1,22,PF C,Right,6'10,250,10/02/1995,Little Rock,Arkansas,Arkansas,Chicago Bulls,portibo01
Kristaps Porzingis,2015,1,4,PF C,Right,7'2,240,02/08/1995,Liepaja,Latvia,None,New York Knicks,porzikr01
Micah Potter,0,0,0,PF C,Right,6'10,248,06/04/1998,Mentor,Ohio,Wisconsin/Ohio State,Undrafted,pottemi01
Dwight Powell,2014,2,15,C PF,Right,6'10,240,20/07/1991,Toronto,Ontario,Stanford,NBA Draft,poweldw01
Jason Preston,2021,2,3,PG,Right,6'4,187,10/08/1999,Orlando,Florida,Ohio University,Orlando Magic,prestja01
Joshua Primo,2021,1,12,SG SF,Right,6'6,190,24/12/2002,Mississauga,Ontario,Alabama,San Antonio Spurs,primojo01
Taurean Prince,2002,1,23,SF,Left,6'9,212,28/02/1980,Compton,California,Kentucky,Detroit Pistons,princta01
Payton Pritchard,2020,1,26,PG SG,Right,6'1,195,28/01/1998,Tualatin,Oregon,Oregon,Boston Celtics,pritcpa01
Olivier-Maxence Prosper,2023,1,24,PF,Right,6'8,230,03/07/2002,Montreal,Canada,Marquette/Clemson,Sacramento Kings,prospol01
Trevelin Queen,0,0,0,SG,Right,6'6,190,25/02/1997,Baltimore,Maryland,New Mexico Military Institute/College of Marin,Undrafted,queentr01
Neemias Queta,2021,2,9,C,Right,7'0,245,13/07/1999,Lisbon,Portugal,Utah State University,Sacramento Kings,quetane01
Immanuel Quickley,2020,1,25,PG SG,Right,6'3,190,17/06/1999,Havre de Grace,Maryland,Kentucky,Oklahoma City Thunder,quickim01
Lester Quinones,0,0,0,SG,Right,6'5,208,16/11/2000,Brentwood,New York,Memphis,Undrafted,quinole01
Jahmi'us Ramsey,2020,2,13,SG,Right,6'3,190,09/06/2001,Arlington,Texas,Texas Tech,Sacramento Kings,ramseja01
Julius Randle,2014,1,7,PF C,Left,6'8,250,29/11/1994,Dallas,Texas,Kentucky,Los Angeles Lakers,randlju01
Duop Reath,0,0,0,C,Right,6'11,245,26/06/1996,Waat,South Sudan,Lee College/LSU,Undrafted,reathdu01
Austin Reaves,0,0,0,SG,Right,6'5,206,29/05/1998,Newark,Arkansas,Oklahoma/Wichita State,Undrafted,reaveau01
Cam Reddish,2019,1,10,SF,Right,6'8,218,01/09/1999,Norristown,Pennsylvania,Duke,Atlanta Hawks,reddica01
Paul Reed,2020,2,28,C PF,Right,6'9,210,14/06/1999,Orlando,Florida,DePaul,Philadelphia 76ers,reedpa01
Naz Reid,0,0,0,C,Right,6'9,264,26/08/1999,Asbury Park,New Jersey,LSU,Undrafted,reidna01
Jared Rhoden,0,0,0,SG,Right,6'6,210,27/08/1999,Baldwin,New York,Seton Hall,Undrafted,rhodeja01
Nick Richards,2020,2,12,C PF,Right,7'0,245,29/11/1997,Kingston,Jamaica,Kentucky,New Orleans Pelicans,richani01
Josh Richardson,2015,2,10,SG SF,Right,6'5,200,15/09/1993,Edmond,Oklahoma,Tennessee,Miami Heat,richajo01
Duncan Robinson,0,0,0,SF SG,Right,6'7,215,22/04/1994,York,Maine,Michigan/Williams,Undrafted,robindu01
Jerome Robinson,2018,1,13,SG,Right,6'4,190,22/02/1997,Raleigh,North Carolina,Boston College,Los Angeles Clippers,robinje01
Mitchell Robinson,2018,2,6,C,Right,7'0,240,01/04/1998,Pensacola,Florida,Western Kentucky,New York Knicks,robinmi01
Orlando Robinson,0,0,0,C,Right,7'0,235,10/07/2000,Las Vegas,Nevada,Fresno State,Undrafted,robinor01
Jeremiah Robinson-Earl,2018,1,13,SG,Right,6'4,190,22/02/1997,Raleigh,North Carolina,Boston College,Los Angeles Clippers,robinje01
David Roddy,2022,1,23,PF,Right,6'4,255,27/03/2001,Minneapolis,Minnesota,Colorado State,Philadelphia 76ers,roddyda01
Ryan Rollins,2022,2,14,PG,Right,6'4,180,03/07/2002,Detroit,Michigan,Toledo,Atlanta Hawks,rolliry01
Derrick Rose,2008,1,1,PG,Right,6'3,200,04/10/1988,Chicago,Illinois,Memphis,Chicago Bulls,rosede01
Terry Rozier,2015,1,16,PG SG,Right,6'1,190,17/03/1994,Youngstown,Ohio,Louisville,Boston Celtics,roziete01
Rayan Rupert,2023,2,13,SG,Right,6'6,205,31/05/2004,Strasbourg,France,None,Portland Trail Blazers,ruperra01
D'Angelo Russell,2015,1,2,PG,Left,6'3,193,23/02/1996,Louisville,Kentucky,Ohio State,Los Angeles Lakers,russeda01
Matt Ryan,0,0,0,SF,Right,6'6,215,17/04/1997,White Plains,New York,Vanderbilt/Notre Dame,Undrafted,ryanma01
Domantas Sabonis,2016,1,11,PF C,Left,6'10,240,03/05/1996,Portland,Oregon,Gonzaga,Orlando Magic,sabondo01
Luka Samanic,2019,1,19,PF,Right,6'10,227,09/01/2000,Zagreb,Croatia,None,San Antonio Spurs,samanlu01
Jermaine Samuels,0,0,0,SF,Right,6'7,230,13/11/1998,Franklin,Massachusetts,Villanova,Undrafted,samueje01
Adama Sanogo,0,0,0,PF,Right,6'9,245,12/02/2002,Bamako,Mali,UConn,Undrafted,sanogad01
Gui Santos,2022,2,25,PF,Right,6'8,209,22/06/2002,Brasilia,Brazil,None,Golden State Warriors,santogu01
Dario Saric,2014,1,12,PF C,Right,6'10,225,08/04/1994,Sibenik,Croatia,None,Orlando Magic,saricda01
Olivier Sarr,0,0,0,C,Right,7'0,237,20/02/1999,Niort,France,Wake Forest/Kentucky,Undrafted,sarrol01
Marcus Sasser,2023,1,25,PG,Right,6'2,195,21/09/2000,Dallas,Texas,Houston,Memphis Grizzlies,sassema01
Admiral Schofield,2019,2,12,PF SF,Right,6'5,241,30/03/1997,London,United Kingdom,Tennessee,Philadelphia 76ers,schofad01
Dennis Schroder,2013,1,17,PG SG,Right,6'1,172,15/09/1993,Braunschweig,Germany,None,Atlanta Hawks,schrode01
Dereon Seabron,0,0,0,SG,Right,6'7,180,26/05/2000,Norfolk,Virginia,NC State,Undrafted,seabrde01
Alperen Sengun,2021,1,16,C,Right,6'11,235,25/07/2002,Giresun,Turkey,None,Oklahoma City Thunder,sengual01
Brice Sensabaugh,2023,1,28,SF,Right,6'6,235,30/10/2003,Orlando,Florida,Ohio State,Utah Jazz,sensabr01
Collin Sexton,2018,1,8,SG PG,Right,6'3,190,04/01/1999,Marietta,Georgia,Alabama,Cleveland Cavaliers,sextoco01
Day'Ron Sharpe,2021,1,29,C PF,Right,6'11,265,06/11/2001,Greenville,North Carolina,UNC,Phoenix Suns,sharpda01
Shaedon Sharpe,2022,1,7,SG,Right,6'6,200,30/05/2003,London,Ontario,Kentucky,Portland Trail Blazers,sharpsh01
Ben Sheppard,2023,1,26,SG,Right,6'6,190,16/07/2001,Atlanta,Georgia,Belmont,Indiana Pacers,sheppbe01
Pascal Siakam,2016,1,27,PF,Right,6'8,230,02/04/1994,Douala,Cameroon,New Mexico State,Toronto Raptors,siakapa01
Ben Simmons,2016,1,1,PG,Left,6'10,240,20/07/1996,Melbourne,Australia,LSU,Philadelphia 76ers,simmobe01
Kobi Simmons,0,0,0,PG SG,Right,6'5,166,04/07/1997,Atlanta,Georgia,Arizona,Undrafted,simmoko01
Anfernee Simons,2018,1,24,SG,Right,6'3,181,08/06/1999,Longwood,Florida,None,Portland Trail Blazers,simonan01
Zavier Simpson,0,0,0,PG,Right,6'0,190,11/02/1997,Lima,Ohio,Michigan,Undrafted,simpsza01
Jericho Sims,2021,2,28,C PF,Right,6'10,245,20/10/1998,Minneapolis,Minnesota,Texas,New York Knicks,simsje01
Dmytro Skapintsev,0,0,0,C,Right,7'1,260,12/05/1998,Cherkasy,Ukraine,Cal State Northridge,Undrafted,skapidm01
Jalen Slawson,2023,2,24,SF,Right,6'7,215,22/10/1999,Summerville,South Carolina,Furman University,Sacramento Kings,slawsja01
Javonte Smart,0,0,0,PG,Right,6'4,205,03/06/1999,Baton Rouge,Louisiana,LSU,Undrafted,smartja01
Marcus Smart,2014,1,6,PG SG,Right,6'3,220,06/03/1994,Flower Mound,Texas,Oklahoma State,Boston Celtics,smartma01
Dennis Smith Jr.,2017,1,9,PG,Right,6'2,205,25/11/1997,Fayetteville,North Carolina,NC State,Dallas Mavericks,smithde03
Dru Smith,0,0,0,SG,Right,6'3,203,30/12/1997,Evansville,Indiana,University of Evansville/Missouri,Undrafted,smithdr01
Ish Smith,0,0,0,PG,Right,6'0,175,05/07/1988,Charlotte,North Carolina,Wake Forest,Undrafted,smithis01
Jabari Smith Jr.,2022,1,3,PF,Right,6'11,220,13/05/2003,Fayetteville,Georgia,Auburn,Houston Rockets,smithja05
Jalen Smith,2020,1,10,PF C,Right,6'10,215,16/03/2000,Portsmouth,Virginia,Maryland,Phoenix Suns,smithja04
Nick Smith Jr.,2023,1,27,SG,Right,6'5,185,18/04/2004,Jacksonville,Arkansas,Arkansas,Charlotte Hornets,smithni01
Terquavion Smith,0,0,0,PG,Right,6'4,165,31/12/2002,Greenville,North Carolina,NC State,Undrafted,smithte01
Jeremy Sochan,2022,1,9,PF,Right,6'8,230,20/05/2003,Guymon,Oklahoma,Baylor,San Antonio Spurs,sochaje01
Pat Spencer,0,0,0,PG,Right,6'3,205,04/07/1996,Davidsonville,Maryland,Loyola /MD,Undrafted,spencpa01
Jaden Springer,2021,1,28,SG PG,Right,6'4,204,25/09/2002,Charlotte,North Carolina,Tennessee,Philadelphia 76ers,sprinja01
Lamar Stevens,0,0,0,PF SF,Right,6'6,230,09/07/1997,Philadelphia,Pennsylvania,Penn State,Undrafted,stevela01
Isaiah Stewart,2020,1,16,C PF,Right,6'8,250,22/05/2001,Rochester,New York,Washington,Portland Trail Blazers,stewais01
Julian Strawther,2023,1,29,SF,Right,6'7,205,18/04/2002,Las Vegas,Nevada,Gonzaga,Indiana Pacers,strawju01
Max Strus,0,0,0,SF,Right,6'5,215,28/03/1996,Hickory Hills,Illinois,Lewis /IL,Undrafted,strusma01
Jalen Suggs,2021,1,5,SG PG,Right,6'5,205,03/06/2001,St. Paul,Minnesota,Gonzaga,Orlando Magic,suggsja01
Cole Swider,0,0,0,SF,Right,6'9,220,08/05/1999,Portsmouth,Rhode Island,Syracuse/Villanova,Undrafted,swideco01
Jae'Sean Tate,0,0,0,SF PF,Left,6'4,230,28/10/1995,Toledo,Ohio,Ohio State,Undrafted,tateja01
Jayson Tatum,2017,1,3,SF PF,Right,6'8,210,03/03/1998,St. Louis,Missouri,Duke,Boston Celtics,tatumja01
Terry Taylor,0,0,0,PF,Left,6'5,230,23/09/1999,Bowling Green,Kentucky,Austin Peay State University,Undrafted,taylote01
Garrett Temple,0,0,0,SG,Right,6'5,195,08/05/1986,Baton Rouge,Louisiana,LSU,Undrafted,templga01
Dalen Terry,2022,1,18,SG,Right,6'7,195,12/07/2002,Tempe,Arizona,Arizona,Chicago Bulls,terryda01
Daniel Theis,0,0,0,C,Right,6'8,245,04/04/1992,Salzgitter,Germany,None,Undrafted,theisda01
Cam Thomas,2021,1,27,SG,Right,6'4,210,13/10/2001,Yokosuka,Japan,LSU,Brooklyn Nets,thomaca02
Isaiah Thomas,2011,2,30,PG SG,Left,5'9,185,07/02/1989,Tacoma,Washington,Washington,Sacramento Kings,thomais02
Amen Thompson,2023,1,4,SF,Right,6'7,209,30/01/2003,San Leandro,California,None,Houston Rockets,thompam01
Ausar Thompson,2023,1,5,SF,Right,6'7,215,30/01/2003,San Leandro,California,None,Detroit Pistons,thompau01
Klay Thompson,2011,1,11,SG SF,Right,6'6,215,08/02/1990,Los Angeles,California,Washington State,Golden State Warriors,thompkl01
Tristan Thompson,2011,1,4,C PF,Right,6'9,254,13/03/1991,Toronto,Ontario,Texas,Cleveland Cavaliers,thomptr01
JT Thor,2021,2,7,PF,Left,6'10,205,26/08/2002,Omaha,Nebraska,Auburn,Detroit Pistons,thorjt01
Matisse Thybulle,2019,1,20,SG SF,Right,6'5,201,04/03/1997,Scottsdale,Arizona,Washington,Boston Celtics,thybuma01
Xavier Tillman,2020,2,5,PF C,Right,6'8,245,12/01/1999,Grand Rapids,Michigan,Michigan State,Sacramento Kings,tillmxa01
Jacob Toppin,0,0,0,SF,Right,6'9,205,08/05/2000,Ossining,New York,Kentucky/Rhode Island,Undrafted,toppija01
Obi Toppin,2020,1,8,PF,Right,6'9,220,04/03/1998,Brooklyn,New York,Dayton,New York Knicks,toppiob01
Juan Toscano-Anderson,0,0,0,SF SG,Right,6'6,209,10/04/1993,Oakland,California,Marquette,Undrafted,toscaju01
Karl-Anthony Towns,2015,1,1,C PF,Right,7'0,248,15/11/1995,Edison,New Jersey,Kentucky,Minnesota Timberwolves,townska01
Gary Trent Jr.,1995,1,11,PF,Right,6'8,250,22/09/1974,Columbus,Ohio,Ohio University,Milwaukee Bucks,trentga01
Oscar Tshiebwe,0,0,0,PF,Right,6'9,260,27/11/1999,Lubumbashi,Democratic Republic of the Congo,Kentucky/West Virginia,Undrafted,tshieos01
P.J. Tucker,2006,2,5,PF,Right,6'5,245,05/05/1985,Raleigh,North Carolina,Texas,Toronto Raptors,tuckepj01
Myles Turner,2015,1,11,C,Right,6'11,250,24/03/1996,Bedford,Texas,Texas,Indiana Pacers,turnemy01
Hunter Tyson,2023,2,7,PF,Right,6'8,215,13/06/2000,Monroe,North Carolina,Clemson,Oklahoma City Thunder,tysonhu01
Stanley Umude,0,0,0,SG,Right,6'6,210,12/04/1999,Portland,Oregon,Arkansas/South Dakota,Undrafted,umudest01
Jonas Valanciunas,2011,1,5,C,Right,6'11,265,06/05/1992,Utena,Lithuania,None,Toronto Raptors,valanjo01
Fred VanVleet,0,0,0,PG SG,Right,6'0,197,25/02/1994,Rockford,Illinois,Wichita State,Undrafted,vanvlfr01
Jarred Vanderbilt,2018,2,11,PF,Left,6'8,214,03/04/1999,Houston,Texas,Kentucky,Orlando Magic,vandeja01
Devin Vassell,2020,1,11,SG SF,Right,6'5,200,23/08/2000,Lawrenceville,Georgia,Florida State,San Antonio Spurs,vassede01
Sasha Vezenkov,2017,2,27,PF,Left,6'9,225,06/08/1995,Lefkosia,Cyprus,None,Brooklyn Nets,vezenal01
Gabe Vincent,0,0,0,PG,Right,6'3,195,14/06/1996,Modesto,California,UC Santa Barbara,Undrafted,vincega01
Nikola Vucevic,2011,1,16,C,Right,6'10,260,24/10/1990,Morges,Switzerland,USC,Philadelphia 76ers,vucevni01
Tristan Vukcevic,2023,2,12,C,Right,7'0,223,11/03/2003,Siena,Italy,None,Washington Wizards,vukcetr01
Dean Wade,0,0,0,PF,Right,6'9,228,20/11/1996,Wichita,Kansas,Kansas State,Undrafted,wadede01
Franz Wagner,2021,1,8,SF,Right,6'10,225,27/08/2001,Berlin,Germany,Michigan,Orlando Magic,wagnefr01
Moritz Wagner,2018,1,25,C,Right,6'11,245,26/04/1997,Berlin,Germany,Michigan,Los Angeles Lakers,wagnemo01
Ish Wainright,0,0,0,SF PF,Right,6'6,250,12/09/1994,Kansas City,Missouri,Baylor,Undrafted,wainris01
Jabari Walker,2022,2,27,SF,Right,6'9,215,30/07/2002,Wichita,Kansas,Colorado,Portland Trail Blazers,walkeja01
Jarace Walker,2023,1,8,PF,Right,6'8,240,04/09/2003,New Freedom,Pennsylvania,Houston,Washington Wizards,walkeja02
Lonnie Walker IV,2018,1,18,SG,Right,6'4,204,14/12/1998,Reading,Pennsylvania,Miami ,San Antonio Spurs,walkelo01
Cason Wallace,2023,1,10,SG,Right,6'4,193,07/11/2003,Dallas,Texas,Kentucky,Dallas Mavericks,wallaca01
Jordan Walsh,2023,2,8,SF,Right,6'7,205,03/03/2004,DeSoto,Texas,Arkansas,Sacramento Kings,walshjo01
T.J. Warren,2014,1,14,SF PF,Right,6'8,220,05/09/1993,Durham,North Carolina,NC State,Phoenix Suns,warretj01
P.J. Washington,2019,1,12,PF C,Right,6'7,230,23/08/1998,Louisville,Kentucky,Kentucky,Charlotte Hornets,washipj01
TyTy Washington Jr.,2022,1,29,PG,Right,6'3,197,15/11/2001,Phoenix,Arizona,Kentucky,Memphis Grizzlies,washity02
Yuta Watanabe,0,0,0,SF,Left,6'9,215,13/10/1994,Yokohama,Japan,George Washington,Undrafted,watanyu01
Lindy Waters III,0,0,0,SG,Right,6'6,215,28/07/1997,Norman,Oklahoma,Oklahoma State,Undrafted,waterli01
Trendon Watford,0,0,0,PF SF,Right,6'9,240,09/11/2000,Birmingham,Alabama,LSU,Undrafted,watfotr01
Peyton Watson,2022,1,30,SF SG,Right,6'8,200,11/09/2002,Beverly Hills,California,UCLA,Oklahoma City Thunder,watsope01
Victor Wembanyama,2023,1,1,C PF,Right,7'4,209,04/01/2004,Le Chesnay,France,None,San Antonio Spurs,wembavi01
Blake Wesley,2022,1,25,SG,Right,6'5,185,16/03/2003,South Bend,Indiana,Notre Dame,San Antonio Spurs,weslebl01
Russell Westbrook,2008,1,4,PG,Right,6'4,200,12/11/1988,Long Beach,California,UCLA,Seattle SuperSonics,westbru01
Coby White,2019,1,7,PG SG,Right,6'5,195,16/02/2000,Goldsboro,North Carolina,UNC,Chicago Bulls,whiteco01
Derrick White,2017,1,29,SG PG,Right,6'4,190,02/07/1994,Parker,Colorado,Colorado Springs/Colorado,San Antonio Spurs,whitede01
Jack White,0,0,0,SF,Right,6'7,225,05/08/1997,Traralgon,Australia,Duke,Undrafted,whiteja03
Dariq Whitehead,2023,1,22,SF,Right,6'7,220,01/08/2004,Newark,New Jersey,Duke,Brooklyn Nets,whiteda01
Cam Whitmore,2023,1,20,SF,Right,6'7,232,08/07/2004,Odenton,Maryland,Villanova,Houston Rockets,whitmca01
Aaron Wiggins,2021,2,25,SG,Right,6'6,200,02/01/1999,Greensboro,North Carolina,Maryland,Oklahoma City Thunder,wiggiaa01
Andrew Wiggins,2014,1,1,SF PF,Right,6'7,197,23/02/1995,Toronto,Ontario,Kansas,Cleveland Cavaliers,wiggian01
Lindell Wigginton,0,0,0,PG,Right,6'2,189,28/03/1998,Halifax,Nova Scotia,Iowa State,Undrafted,wiggili01
Alondes Williams,0,0,0,SG,Right,6'4,210,19/06/1999,Milwaukee ,Wisconsin,Triton College/Oklahoma,Undrafted,willial06
Brandon Williams,0,0,0,PG,Right,6'2,190,22/11/1999,Los Angeles,California,Arizona,Undrafted,willibr03
Grant Williams,2019,1,22,PF,Right,6'6,236,30/11/1998,Houston,Texas,Tennessee,Boston Celtics,willigr01
Jalen Williams,2022,1,12,PF SG,Right,6'5,195,14/04/2001,Denver,Colorado,Santa Clara,Oklahoma City Thunder,willija06
Jaylin Williams,2022,2,4,C,Right,6'9,240,29/06/2002,Fort Smith,Arkansas,Arkansas,Oklahoma City Thunder,willija07
Jeenathan Williams,0,0,0,SG,Left,6'5,205,12/02/1999,Rochester,New York,Buffalo,Undrafted,willije02
Kenrich Williams,0,0,0,PF SF,Right,6'6,210,02/12/1994,Waco,Texas,TCU,Undrafted,willike04
Malik Williams,0,0,0,C,Right,6'11,250,26/08/1998,Fort Wayne,Indiana,None,Undrafted,willima11
Mark Williams,2022,1,15,C,Right,7'0,241,16/12/2001,Norfolk,Virginia,Duke,Charlotte Hornets,willima07
Patrick Williams,2020,1,4,PF,Right,6'7,215,26/08/2001,Charlotte,North Carolina,Florida State,Chicago Bulls,willipa01
Robert Williams,2018,1,27,C,Right,6'9,237,17/10/1997,Shreveport,Louisiana,Texas A,Boston Celtics,williro04
Vince Williams Jr.,2022,2,17,SG,Left,6'4,205,30/08/2000,Toledo,Ohio,VCU,Memphis Grizzlies,willivi01
Ziaire Williams,2021,1,10,SF,Right,6'9,215,12/09/2001,Lancaster,California,Stanford,New Orleans Pelicans,willizi02
Zion Williamson,2019,1,1,PF,Left,6'6,284,06/07/2000,Salisbury,North Carolina,Duke,New Orleans Pelicans,willizi01
D.J. Wilson,2017,1,17,PF,Right,6'10,231,19/02/1996,Mount Shasta,California,Michigan,Milwaukee Bucks,wilsodj01
Jalen Wilson,2023,2,21,PF,Right,6'8,225,04/11/2000,Arlington,Texas,Kansas,Brooklyn Nets,wilsoja03
Dylan Windler,2019,1,26,SF,Left,6'6,196,22/09/1996,Indianapolis,Indiana,Belmont,Cleveland Cavaliers,windldy01
James Wiseman,2020,1,2,C,Left,7'0,240,31/03/2001,Nashville,Tennessee,Memphis,Golden State Warriors,wisemja01
Isaiah Wong,2023,2,25,SG,Right,6'4,184,28/01/2001,Piscataway,New Jersey,Miami ,Indiana Pacers,wongis01
Christian Wood,0,0,0,PF C,Right,6'8,214,27/09/1995,Long Beach,California,UNLV,Undrafted,woodch01
Delon Wright,2015,1,20,PG SG,Right,6'5,185,26/04/1992,Los Angeles,California,Utah,Toronto Raptors,wrighde01
Thaddeus Young,2007,1,12,PF,Left,6'8,235,21/06/1988,New Orleans,Louisiana,Georgia Tech,Philadelphia 76ers,youngth01
Trae Young,2018,1,5,PG,Right,6'1,164,19/09/1998,Lubbock,Texas,Oklahoma,Dallas Mavericks,youngtr01
Omer Yurtseven,0,0,0,C,Right,7'0,264,19/06/1998,Istanbul,Turkey,NC State/Georgetown,Undrafted,yurtsom01
Cody Zeller,2013,1,4,C,Right,6'11,240,05/10/1992,Washington,Indiana,Indiana,Charlotte Bobcats,zelleco01
Ivica Zubac,2016,2,2,C,Right,7'0,240,18/03/1997,Mostar,Bosnia and Herzegovina,None,Los Angeles Lakers,zubaciv01
